"date","team","opponent","goals_scored","location","match_weight"
2013-04-06,"Malta","Luxembourg",6,"H",3
2013-04-06,"Georgia","Montenegro",0,"N",3
2013-04-06,"Lithuania","Faroe Islands",0,"H",3
2013-04-09,"Luxembourg","Albania",1,"N",3
2013-04-09,"Malta","Latvia",2,"H",3
2013-04-09,"Faroe Islands","Georgia",2,"N",3
2013-04-09,"Lithuania","Montenegro",1,"H",3
2013-04-01,"Jordan","Palestine",4,"H",1
2013-04-03,"Jordan","Palestine",6,"H",1
2013-04-04,"France","Canada",1,"H",2
2013-04-04,"Slovakia","Finland",0,"H",1
2013-04-05,"Germany","USA",3,"H",2
2013-04-05,"Denmark","Netherlands",0,"H",1
2013-04-06,"Sweden","Iceland",2,"H",1
2013-04-06,"Switzerland","Norway",3,"H",1
2013-04-07,"Austria","Italy",1,"H",1
2013-04-07,"England","Canada",1,"H",2
2013-04-07,"Scotland","Wales",2,"H",1
2013-04-07,"Slovakia","Finland",3,"H",1
2013-04-07,"Mozambique","Swaziland",2,"H",1
2013-04-08,"Denmark","Russia",5,"H",1
2013-04-09,"Netherlands","USA",1,"H",1
2013-04-17,"Slovenia","Hungary",1,"H",1
2013-04-26,"Vietnam","Jordan",1,"H",1
2013-04-28,"Vietnam","Jordan",1,"H",1
2013-05-21,"Iran","Philippines",0,"N",3
2013-05-21,"Bangladesh","Thailand",0,"H",3
2013-05-21,"Palestine","Chinese Taipei",0,"H",3
2013-05-21,"Myanmar","India",2,"N",3
2013-05-22,"Bahrain","Vietnam",0,"H",3
2013-05-22,"Hong Kong","Kyrgyzstan",2,"N",3
2013-05-23,"Philippines","Thailand",0,"N",3
2013-05-23,"Bangladesh","Iran",0,"H",3
2013-05-23,"Palestine","Myanmar",0,"H",3
2013-05-23,"India","Chinese Taipei",1,"N",3
2013-05-24,"Bahrain","Hong Kong",1,"H",3
2013-05-24,"Kyrgyzstan","Vietnam",0,"N",3
2013-05-25,"Thailand","Iran",5,"N",3
2013-05-25,"Bangladesh","Philippines",0,"H",3
2013-05-25,"Palestine","India",1,"H",3
2013-05-25,"Myanmar","Chinese Taipei",0,"N",3
2013-05-26,"Vietnam","Hong Kong",4,"N",3
2013-05-26,"Bahrain","Kyrgyzstan",4,"H",3
2013-05-14,"Bahrain","India",1,"H",1
2013-05-16,"Jordan","Vietnam",1,"H",1
2013-05-16,"Bahrain","India",0,"H",1
2013-05-18,"Jordan","Vietnam",0,"H",1
2013-05-29,"Albania","FYR Macedonia",3,"H",1
2013-06-01,"Iceland","Scotland",2,"H",1
2013-06-01,"France","Finland",3,"H",1
2013-06-01,"Sweden","Norway",2,"H",1
2013-06-01,"Romania","Greece",4,"H",1
2013-06-05,"Uzbekistan","Kuwait",18,"N",3
2013-06-05,"Jordan","Lebanon",5,"H",3
2013-06-07,"Lebanon","Uzbekistan",0,"N",3
2013-06-07,"Jordan","Kuwait",21,"H",3
2013-06-09,"Lebanon","Kuwait",12,"N",3
2013-06-09,"Jordan","Uzbekistan",4,"H",3
2013-06-01,"Iceland","Scotland",2,"H",1
2013-06-01,"France","Finland",3,"H",1
2013-06-01,"Sweden","Norway",2,"H",1
2013-06-01,"Romania","Greece",4,"H",1
2013-06-02,"Canada","USA",0,"H",2
2013-06-02,"Belgium","Ukraine",3,"H",1
2013-06-02,"Slovenia","Austria",1,"H",1
2013-06-02,"Zambia","Zimbabwe",1,"H",1
2013-06-09,"South Africa","Mozambique",5,"H",1
2013-06-13,"Australia","New Zealand",1,"H",1
2013-06-15,"USA","Korea Republic",4,"H",1
2013-06-15,"South Africa","Zimbabwe",1,"H",1
2013-06-15,"Germany","Scotland",3,"H",1
2013-06-16,"Australia","New Zealand",1,"H",1
2013-06-17,"Slovakia","Wales",2,"H",1
2013-06-18,"Republic of Ireland","Austria",2,"H",1
2013-06-19,"Serbia","Romania",3,"H",1
2013-06-19,"Germany","Canada",1,"H",2
2013-06-19,"Finland","Switzerland",2,"H",1
2013-06-19,"Slovakia","Wales",1,"H",1
2013-06-19,"Sweden","Brazil",1,"H",2
2013-06-20,"USA","Korea Republic",5,"H",1
2013-06-20,"Denmark","Iceland",2,"H",1
2013-06-20,"Japan","New Zealand",1,"H",1
2013-06-22,"Poland","Czech Republic",4,"H",1
2013-06-22,"Russia","Ukraine",1,"H",1
2013-06-25,"Maldives","Qatar",1,"H",1
2013-06-26,"England","Japan",1,"H",2
2013-06-27,"Maldives","Qatar",3,"H",1
2013-06-27,"Namibia","Lesotho",2,"H",1
2013-06-28,"Denmark","Spain",2,"H",1
2013-06-29,"Germany","Japan",4,"H",2
2013-06-29,"France","Norway",1,"H",1
2013-06-29,"Namibia","Lesotho",3,"H",1
2013-06-29,"Netherlands","Australia",3,"H",1
2013-07-10,"Italy","Finland",0,"N",3
2013-07-10,"Sweden","Denmark",1,"H",3
2013-07-11,"Germany","Netherlands",0,"N",3
2013-07-11,"Norway","Iceland",1,"N",3
2013-07-12,"England","Spain",2,"N",3
2013-07-12,"France","Russia",3,"N",3
2013-07-13,"Italy","Denmark",2,"N",3
2013-07-13,"Finland","Sweden",0,"A",3
2013-07-14,"Iceland","Germany",0,"N",3
2013-07-14,"Norway","Netherlands",1,"N",3
2013-07-15,"England","Russia",1,"N",3
2013-07-15,"Spain","France",0,"N",3
2013-07-16,"Sweden","Italy",3,"H",3
2013-07-16,"Denmark","Finland",1,"N",3
2013-07-17,"Netherlands","Iceland",0,"N",3
2013-07-17,"Germany","Norway",0,"N",3
2013-07-18,"Russia","Spain",1,"N",3
2013-07-18,"France","England",3,"N",3
2013-07-21,"Sweden","Iceland",4,"H",3
2013-07-21,"Italy","Germany",0,"N",3
2013-07-22,"Norway","Spain",3,"N",3
2013-07-22,"France","Denmark",1,"N",3
2013-07-24,"Sweden","Germany",0,"H",3
2013-07-25,"Norway","Denmark",1,"N",3
