"date","team","opponent","goals_scored","location","match_weight"
2014-04-05,"Greece","Netherlands",0,"H",3
2014-04-05,"England","Montenegro",9,"H",3
2014-04-05,"Bulgaria","Austria",1,"H",3
2014-04-05,"Hungary","Finland",0,"H",3
2014-04-05,"France","Kazakhstan",7,"H",3
2014-04-09,"Russia","Croatia",1,"H",3
2014-04-09,"Portugal","Greece",1,"H",3
2014-04-09,"Wales","Ukraine",1,"H",3
2014-04-09,"France","Austria",3,"H",3
2014-04-10,"Germany","Slovenia",4,"H",3
2014-04-10,"FYR Macedonia","Spain",0,"H",3
2014-04-10,"Romania","Italy",1,"H",3
2014-04-10,"Malta","Iceland",0,"H",3
2014-04-10,"Switzerland","Denmark",1,"H",3
2014-04-10,"Bosnia and Herzegovina","Scotland",1,"H",3
2014-04-10,"Faroe Islands","Northern Ireland",0,"H",3
2014-04-10,"Netherlands","Albania",10,"H",3
2014-04-10,"Belgium","Norway",1,"H",3
2014-04-10,"Montenegro","Belarus",1,"H",3
2014-04-10,"Finland","Hungary",4,"H",3
2014-04-26,"Czech Republic","Estonia",6,"H",3
2014-04-06,"USA","China PR",2,"H",1
2014-04-06,"Ethiopia","Cameroon",0,"H",1
2014-04-06,"Australia","Brazil",0,"H",1
2014-04-08,"Luxembourg","Cyprus",0,"H",1
2014-04-09,"Australia","Brazil",2,"H",1
2014-04-10,"USA","China PR",3,"H",1
2014-04-12,"South Africa","Zimbabwe",2,"H",1
2014-04-15,"Palestine","Qatar",4,"N",1
2014-04-15,"Jordan","Bahrain",5,"H",1
2014-04-17,"Jordan","Qatar",7,"H",1
2014-04-17,"Bahrain","Palestine",0,"N",1
2014-04-19,"Jordan","Palestine",10,"H",1
2014-04-19,"Bahrain","Qatar",8,"N",1
2014-04-29,"Nigeria","Cameroon",1,"H",1
2014-04-30,"Algeria","C担te d'Ivoire",1,"H",1
2014-05-07,"Republic of Ireland","Russia",1,"H",3
2014-05-07,"Czech Republic","Romania",0,"H",3
2014-05-07,"Malta","Israel",0,"H",3
2014-05-07,"Norway","Portugal",2,"H",3
2014-05-07,"Belgium","Netherlands",0,"H",3
2014-05-07,"Belarus","Turkey",1,"H",3
2014-05-07,"Kazakhstan","Bulgaria",4,"H",3
2014-05-07,"France","Hungary",4,"H",3
2014-05-08,"Slovenia","Croatia",0,"H",3
2014-05-08,"Germany","Slovakia",9,"H",3
2014-05-08,"FYR Macedonia","Italy",0,"H",3
2014-05-08,"Estonia","Spain",0,"H",3
2014-05-08,"Switzerland","Iceland",3,"H",3
2014-05-08,"Denmark","Serbia",3,"H",3
2014-05-08,"Faroe Islands","Poland",0,"H",3
2014-05-08,"Sweden","Northern Ireland",3,"H",3
2014-05-08,"Wales","Montenegro",4,"H",3
2014-05-08,"England","Ukraine",4,"H",3
2014-05-14,"Vietnam","Jordan",3,"H",3
2014-05-14,"Australia","Japan",2,"N",3
2014-05-15,"Myanmar","Korea Republic",0,"N",3
2014-05-15,"China PR","Thailand",7,"N",3
2014-05-16,"Australia","Jordan",3,"N",3
2014-05-16,"Vietnam","Japan",0,"H",3
2014-05-17,"China PR","Myanmar",3,"N",3
2014-05-17,"Korea Republic","Thailand",4,"N",3
2014-05-18,"Vietnam","Australia",0,"H",3
2014-05-18,"Japan","Jordan",7,"N",3
2014-05-19,"Myanmar","Thailand",1,"N",3
2014-05-19,"China PR","Korea Republic",0,"N",3
2014-05-21,"Vietnam","Thailand",1,"H",3
2014-05-22,"Japan","China PR",2,"N",3
2014-05-22,"Korea Republic","Australia",1,"N",3
2014-05-25,"China PR","Korea Republic",2,"N",3
2014-05-25,"Japan","Australia",1,"N",3
2014-05-23,"Comoros","South Africa",0,"H",3
2014-05-23,"C担te d'Ivoire","Equatorial Guinea",1,"H",3
2014-05-23,"Algeria","Tunisia",2,"H",3
2014-05-24,"Rwanda","Nigeria",1,"H",3
2014-05-24,"Senegal","Cameroon",1,"H",3
2014-05-25,"Zimbabwe","Zambia",0,"H",3
2014-05-25,"Ethiopia","Ghana",0,"H",3
2014-05-20,"Honduras","Belize",8,"N",3
2014-05-20,"Guatemala","Panama",1,"H",3
2014-05-20,"Nicaragua","El Salvador",0,"N",3
2014-05-22,"Belize","Panama",1,"N",3
2014-05-22,"Guatemala","Honduras",3,"H",3
2014-05-22,"El Salvador","Costa Rica",0,"N",3
2014-05-23,"Aruba","St. Vincent / Grenadines",0,"N",3
2014-05-23,"Antigua and Barbuda","US Virgin Islands",1,"H",3
2014-05-23,"Martinique","Barbados",3,"N",3
2014-05-23,"Cayman Islands","St. Kitts and Nevis",0,"N",3
2014-05-23,"Turks and Caicos Islands","Bermuda",0,"H",3
2014-05-24,"Panama","Honduras",4,"N",3
2014-05-24,"Guatemala","Belize",5,"H",3
2014-05-24,"Costa Rica","Nicaragua",3,"N",3
2014-05-25,"St. Vincent / Grenadines","US Virgin Islands",0,"N",3
2014-05-25,"Antigua and Barbuda","Aruba",1,"H",3
2014-05-25,"Puerto Rico","Barbados",1,"H",3
2014-05-25,"Bermuda","Cayman Islands",2,"N",3
2014-05-25,"Turks and Caicos Islands","St. Kitts and Nevis",0,"H",3
2014-05-26,"Guatemala","Costa Rica",0,"H",3
2014-05-27,"US Virgin Islands","Aruba",1,"N",3
2014-05-27,"Antigua and Barbuda","St. Vincent / Grenadines",1,"H",3
2014-05-27,"Puerto Rico","Martinique",1,"H",3
2014-05-27,"St. Kitts and Nevis","Bermuda",1,"N",3
2014-05-27,"Turks and Caicos Islands","Cayman Islands",0,"H",3
2014-05-30,"Cuba","Suriname",2,"N",3
2014-06-01,"Haiti","Suriname",3,"H",3
2014-05-03,"Algeria","C担te d'Ivoire",1,"H",1
2014-05-05,"China PR","Hong Kong",6,"H",1
2014-05-08,"Japan","New Zealand",2,"H",1
2014-05-08,"Canada","USA",1,"H",2
2014-05-08,"Korea Republic","Vietnam",5,"H",1
2014-05-09,"China PR","Chinese Taipei",4,"H",1
2014-05-10,"El Salvador","Guatemala",2,"H",1
2014-05-13,"Zambia","Rwanda",3,"H",1
2014-05-17,"Guatemala","El Salvador",2,"H",1
2014-06-14,"Republic of Ireland","Croatia",1,"H",3
2014-06-14,"Slovenia","Russia",1,"H",3
2014-06-14,"Czech Republic","Italy",0,"H",3
2014-06-14,"Switzerland","Israel",9,"H",3
2014-06-14,"Serbia","Malta",5,"H",3
2014-06-14,"Bosnia and Herzegovina","Northern Ireland",1,"H",3
2014-06-14,"Scotland","Sweden",1,"H",3
2014-06-14,"Norway","Greece",6,"H",3
2014-06-14,"Albania","Portugal",0,"H",3
2014-06-14,"Belarus","England",0,"H",3
2014-06-14,"Wales","Turkey",1,"H",3
2014-06-14,"Ukraine","Montenegro",7,"H",3
2014-06-14,"Kazakhstan","Hungary",1,"H",3
2014-06-14,"Austria","Finland",3,"H",3
2014-06-15,"Estonia","FYR Macedonia",1,"H",3
2014-06-15,"Denmark","Iceland",1,"H",3
2014-06-18,"Czech Republic","FYR Macedonia",5,"H",3
2014-06-18,"Bosnia and Herzegovina","Poland",1,"H",3
2014-06-18,"Portugal","Norway",0,"H",3
2014-06-18,"Finland","Bulgaria",4,"H",3
2014-06-19,"Russia","Republic of Ireland",0,"H",3
2014-06-19,"Slovakia","Croatia",1,"H",3
2014-06-19,"Estonia","Romania",0,"H",3
2014-06-19,"Israel","Denmark",0,"H",3
2014-06-19,"Serbia","Switzerland",0,"H",3
2014-06-19,"Iceland","Malta",5,"H",3
2014-06-19,"Faroe Islands","Sweden",0,"H",3
2014-06-19,"Northern Ireland","Scotland",0,"H",3
2014-06-19,"Belarus","Wales",0,"H",3
2014-06-19,"Montenegro","Turkey",2,"H",3
2014-06-19,"Ukraine","England",1,"H",3
2014-06-19,"Kazakhstan","Austria",0,"H",3
2014-06-07,"Equatorial Guinea","C担te d'Ivoire",2,"H",3
2014-06-07,"Nigeria","Rwanda",8,"H",3
2014-06-08,"Zambia","Zimbabwe",1,"H",3
2014-06-08,"Cameroon","Senegal",1,"H",3
2014-06-08,"Tunisia","Algeria",2,"H",3
2014-06-08,"Ghana","Ethiopia",3,"H",3
2014-06-01,"Haiti","Suriname",3,"H",3
2014-06-03,"Haiti","Cuba",1,"H",3
2014-06-18,"Dominican Republic","St. Lucia",7,"H",3
2014-06-20,"Jamaica","St. Lucia",14,"N",3
2014-06-22,"Dominican Republic","Jamaica",0,"H",3
2014-06-06,"Lithuania","Latvia",1,"H",1
2014-06-07,"Estonia","Latvia",4,"N",1
2014-06-07,"South Africa","Botswana",4,"H",1
2014-06-08,"Lithuania","Estonia",0,"H",1
2014-06-11,"France","Brazil",0,"N",2
2014-06-14,"USA","France",1,"H",2
2014-06-16,"New Zealand","Brazil",1,"H",1
2014-06-18,"Canada","Germany",1,"H",2
2014-06-19,"USA","France",2,"H",2
2014-06-19,"New Zealand","Brazil",0,"H",1
2014-07-02,"Andorra","Luxembourg",0,"N",1
2014-07-05,"Namibia","South Africa",1,"H",1
2014-07-06,"Trinidad and Tobago","Venezuela",5,"H",1
2014-07-08,"Trinidad and Tobago","Venezuela",0,"H",1
2014-07-11,"Zimbabwe","South Africa",0,"H",1
2014-07-16,"Poland","Estonia",5,"H",1
2014-07-22,"Guam","Macau",11,"H",1
2014-07-23,"Romania","Hungary",5,"H",1
2014-07-27,"Myanmar","Thailand",1,"H",1
2014-08-14,"Papua New Guinea","Venezuela",0,"N",NA
2014-08-14,"China PR","Mexico",2,"H",NA
2014-08-17,"Venezuela","Slovakia",6,"N",NA
2014-08-17,"Mexico","Namibia",9,"N",NA
2014-08-20,"Slovakia","Papua New Guinea",4,"N",NA
2014-08-20,"Namibia","China PR",0,"A",NA
2014-08-23,"Venezuela","Mexico",1,"N",NA
2014-08-23,"China PR","Slovakia",0,"H",NA
2014-08-25,"Papua New Guinea","Namibia",3,"N",NA
2014-08-26,"Venezuela","China PR",0,"A",NA
2014-08-26,"Mexico","Slovakia",3,"N",NA
2014-08-05,"Canada","Ghana",0,"N",NA
2014-08-05,"Finland","Korea DPR",1,"N",NA
2014-08-05,"China PR","Brazil",1,"N",NA
2014-08-05,"Germany","USA",2,"N",NA
2014-08-06,"England","Korea Republic",1,"N",NA
2014-08-06,"Mexico","Nigeria",1,"N",NA
2014-08-06,"New Zealand","Paraguay",2,"N",NA
2014-08-06,"France","Costa Rica",5,"N",NA
2014-08-08,"Canada","Finland",3,"N",NA
2014-08-08,"Ghana","Korea DPR",0,"N",NA
2014-08-08,"USA","Brazil",1,"N",NA
2014-08-08,"Germany","China PR",5,"N",NA
2014-08-09,"England","Mexico",1,"N",NA
2014-08-09,"Korea Republic","Nigeria",1,"N",NA
2014-08-09,"Paraguay","Costa Rica",2,"N",NA
2014-08-09,"New Zealand","France",0,"N",NA
2014-08-12,"Korea DPR","Canada",0,"N",NA
2014-08-12,"Ghana","Finland",2,"N",NA
2014-08-12,"Brazil","Germany",1,"N",NA
2014-08-12,"USA","China PR",3,"N",NA
2014-08-13,"Nigeria","England",2,"N",NA
2014-08-13,"Korea Republic","Mexico",2,"N",NA
2014-08-13,"Costa Rica","New Zealand",0,"N",NA
2014-08-13,"Paraguay","France",0,"N",NA
2014-08-16,"Germany","Canada",2,"N",NA
2014-08-16,"Korea DPR","USA",1,"N",NA
2014-08-17,"Nigeria","New Zealand",4,"N",NA
2014-08-17,"France","Korea Republic",0,"N",NA
2014-08-20,"Korea DPR","Nigeria",2,"N",NA
2014-08-20,"Germany","France",2,"N",NA
2014-08-24,"Korea DPR","France",2,"N",NA
2014-08-24,"Nigeria","Germany",0,"N",NA
2014-08-02,"Ukraine","Belarus",8,"H",3
2014-08-20,"Republic of Ireland","Slovenia",2,"H",3
2014-08-20,"Estonia","Czech Republic",1,"H",3
2014-08-20,"Bosnia and Herzegovina","Faroe Islands",2,"H",3
2014-08-20,"Belarus","Ukraine",1,"H",3
2014-08-20,"Hungary","France",0,"H",3
2014-08-21,"Russia","Slovakia",3,"H",3
2014-08-21,"Romania","FYR Macedonia",6,"H",3
2014-08-21,"Serbia","Israel",3,"H",3
2014-08-21,"Iceland","Denmark",0,"H",3
2014-08-21,"Poland","Sweden",0,"H",3
2014-08-21,"Wales","England",0,"H",3
2014-08-21,"Bulgaria","Finland",0,"H",3
2014-08-19,"Jamaica","Puerto Rico",4,"N",3
2014-08-19,"Haiti","Bermuda",5,"N",3
2014-08-20,"Trinidad and Tobago","St. Kitts and Nevis",10,"H",3
2014-08-21,"Bermuda","Jamaica",1,"N",3
2014-08-21,"Puerto Rico","Haiti",0,"N",3
2014-08-22,"Trinidad and Tobago","Antigua and Barbuda",3,"H",3
2014-08-23,"Puerto Rico","Bermuda",5,"N",3
2014-08-23,"Haiti","Jamaica",0,"N",3
2014-08-24,"Antigua and Barbuda","St. Kitts and Nevis",1,"N",3
2014-08-26,"Trinidad and Tobago","Jamaica",1,"H",3
2014-08-03,"Scotland","Wales",1,"H",1
2014-08-03,"England","Sweden",4,"H",2
2014-08-10,"South Africa","Namibia",2,"H",1
2014-08-20,"Netherlands","Brazil",0,"H",1
2014-08-20,"USA","Switzerland",4,"H",1
2014-08-20,"Namibia","Botswana",5,"H",1
2014-08-24,"Zambia","South Africa",0,"H",1
2014-08-28,"Egypt","Jordan",2,"H",1
2014-08-30,"Chinese Taipei","Hong Kong",2,"H",1
2014-08-31,"Egypt","Jordan",0,"H",1
2014-08-31,"South Africa","Tanzania",6,"H",1
2014-09-13,"Russia","Germany",1,"H",3
2014-09-13,"Slovakia","Republic of Ireland",0,"H",3
2014-09-13,"Croatia","Slovenia",1,"H",3
2014-09-13,"Romania","Spain",0,"H",3
2014-09-13,"Italy","Estonia",4,"H",3
2014-09-13,"Denmark","Malta",8,"H",3
2014-09-13,"Iceland","Israel",3,"H",3
2014-09-13,"Sweden","Bosnia and Herzegovina",3,"H",3
2014-09-13,"Poland","Northern Ireland",4,"H",3
2014-09-13,"Scotland","Faroe Islands",9,"H",3
2014-09-13,"Albania","Norway",0,"H",3
2014-09-13,"Belgium","Greece",11,"H",3
2014-09-13,"Netherlands","Portugal",3,"H",3
2014-09-13,"Ukraine","Turkey",8,"H",3
2014-09-13,"Finland","France",0,"H",3
2014-09-13,"Austria","Hungary",4,"H",3
2014-09-17,"Slovenia","Slovakia",2,"H",3
2014-09-17,"Germany","Republic of Ireland",2,"H",3
2014-09-17,"Croatia","Russia",1,"H",3
2014-09-17,"Italy","FYR Macedonia",15,"H",3
2014-09-17,"Czech Republic","Spain",0,"H",3
2014-09-17,"Malta","Switzerland",0,"H",3
2014-09-17,"Denmark","Israel",0,"H",3
2014-09-17,"Iceland","Serbia",9,"H",3
2014-09-17,"Sweden","Scotland",2,"H",3
2014-09-17,"Poland","Bosnia and Herzegovina",3,"H",3
2014-09-17,"Northern Ireland","Faroe Islands",3,"H",3
2014-09-17,"Greece","Albania",4,"H",3
2014-09-17,"Norway","Netherlands",0,"H",3
2014-09-17,"Portugal","Belgium",0,"H",3
2014-09-17,"Turkey","Belarus",3,"H",3
2014-09-17,"Ukraine","Wales",1,"H",3
2014-09-17,"Montenegro","England",0,"H",3
2014-09-17,"Bulgaria","Hungary",0,"H",3
2014-09-17,"Austria","Kazakhstan",5,"H",3
2014-09-17,"France","Finland",3,"H",3
2014-09-11,"Ecuador","Peru",1,"H",3
2014-09-11,"Uruguay","Venezuela",1,"N",3
2014-09-12,"Brazil","Bolivia",6,"N",3
2014-09-12,"Argentina","Chile",0,"N",3
2014-09-13,"Colombia","Uruguay",4,"N",3
2014-09-13,"Ecuador","Venezuela",1,"H",3
2014-09-14,"Bolivia","Argentina",0,"N",3
2014-09-14,"Paraguay","Brazil",1,"N",3
2014-09-15,"Uruguay","Peru",2,"N",3
2014-09-15,"Colombia","Venezuela",4,"N",3
2014-09-16,"Argentina","Paraguay",1,"N",3
2014-09-16,"Chile","Bolivia",3,"N",3
2014-09-17,"Venezuela","Peru",0,"N",3
2014-09-17,"Ecuador","Colombia",0,"H",3
2014-09-18,"Chile","Brazil",0,"N",3
2014-09-18,"Bolivia","Paraguay",2,"N",3
2014-09-19,"Ecuador","Uruguay",1,"H",3
2014-09-19,"Colombia","Peru",1,"N",3
2014-09-20,"Paraguay","Chile",3,"N",3
2014-09-20,"Brazil","Argentina",0,"N",3
2014-09-24,"Colombia","Argentina",0,"N",3
2014-09-24,"Brazil","Ecuador",4,"A",3
2014-09-26,"Colombia","Ecuador",2,"A",3
2014-09-26,"Brazil","Argentina",6,"N",3
2014-09-28,"Argentina","Ecuador",2,"A",3
2014-09-28,"Colombia","Brazil",0,"N",3
2014-09-05,"China PR","Vietnam",5,"H",1
2014-09-07,"Ecuador","Bolivia",3,"H",1
2014-09-09,"China PR","Thailand",2,"H",1
2014-09-13,"South Africa","Botswana",10,"H",1
2014-09-13,"Japan","Ghana",5,"H",1
2014-09-13,"USA","Mexico",8,"H",1
2014-09-14,"British Virgin Islands","US Virgin Islands",0,"H",1
2014-09-14,"India","Maldives",15,"N",1
2014-09-14,"Korea Republic","Thailand",5,"H",1
2014-09-15,"Jordan","Chinese Taipei",2,"N",1
2014-09-15,"Japan","China PR",0,"N",1
2014-09-16,"Korea DPR","Vietnam",5,"N",1
2014-09-17,"Thailand","Maldives",10,"N",1
2014-09-17,"Korea Republic","India",10,"H",1
2014-09-18,"China PR","Chinese Taipei",4,"N",1
2014-09-18,"Japan","Jordan",12,"N",1
2014-09-18,"USA","Mexico",4,"H",1
2014-09-20,"Hong Kong","Korea DPR",0,"N",1
2014-09-21,"Thailand","India",10,"N",1
2014-09-21,"Korea Republic","Maldives",13,"H",1
2014-09-22,"Chinese Taipei","Japan",0,"N",1
2014-09-22,"China PR","Jordan",5,"N",1
2014-09-23,"Vietnam","Hong Kong",5,"N",1
2014-09-24,"South Africa","C担te d'Ivoire",2,"H",1
2014-09-26,"Japan","Hong Kong",9,"N",1
2014-09-26,"Korea DPR","China PR",1,"N",1
2014-09-26,"Thailand","Vietnam",1,"N",1
2014-09-26,"Korea Republic","Chinese Taipei",1,"H",1
2014-09-29,"Vietnam","Japan",0,"N",1
2014-09-29,"Korea Republic","Korea DPR",1,"H",1
2014-10-25,"Italy","Ukraine",2,"H",3
2014-10-25,"Scotland","Netherlands",1,"H",3
2014-10-29,"Ukraine","Italy",2,"H",3
2014-10-30,"Netherlands","Scotland",2,"H",3
2014-10-11,"Namibia","Zambia",2,"H",3
2014-10-11,"Nigeria","C担te d'Ivoire",4,"N",3
2014-10-12,"South Africa","Cameroon",0,"N",3
2014-10-12,"Algeria","Ghana",1,"N",3
2014-10-14,"Zambia","Nigeria",0,"N",3
2014-10-14,"Namibia","C担te d'Ivoire",1,"H",3
2014-10-15,"Cameroon","Algeria",2,"N",3
2014-10-15,"Ghana","South Africa",1,"N",3
2014-10-17,"Zambia","C担te d'Ivoire",1,"N",3
2014-10-17,"Namibia","Nigeria",0,"H",3
2014-10-18,"South Africa","Algeria",5,"N",3
2014-10-18,"Cameroon","Ghana",0,"N",3
2014-10-22,"Nigeria","South Africa",2,"N",3
2014-10-22,"Cameroon","C担te d'Ivoire",2,"N",3
2014-10-25,"South Africa","C担te d'Ivoire",0,"N",3
2014-10-25,"Nigeria","Cameroon",2,"N",3
2014-10-15,"USA","Trinidad and Tobago",1,"H",3
2014-10-15,"Guatemala","Haiti",0,"N",3
2014-10-16,"Costa Rica","Mexico",1,"N",3
2014-10-17,"USA","Guatemala",5,"H",3
2014-10-17,"Haiti","Trinidad and Tobago",0,"N",3
2014-10-18,"Costa Rica","Jamaica",2,"N",3
2014-10-20,"Trinidad and Tobago","Guatemala",2,"N",3
2014-10-20,"USA","Haiti",6,"H",3
2014-10-21,"Mexico","Jamaica",3,"N",3
2014-10-24,"Costa Rica","Trinidad and Tobago",1,"N",3
2014-10-24,"USA","Mexico",3,"H",3
2014-10-26,"Trinidad and Tobago","Mexico",2,"N",3
2014-10-26,"USA","Costa Rica",6,"H",3
2014-10-25,"New Zealand","Tonga",16,"N",3
2014-10-25,"Papua New Guinea","Cook Islands",4,"H",3
2014-10-27,"Tonga","Cook Islands",1,"N",3
2014-10-27,"Papua New Guinea","New Zealand",0,"H",3
2014-10-29,"Cook Islands","New Zealand",0,"N",3
2014-10-29,"Papua New Guinea","Tonga",3,"H",3
2014-10-01,"Zambia","Cameroon",0,"H",1
2014-10-01,"Korea Republic","Vietnam",3,"H",1
2014-10-01,"Japan","Korea DPR",1,"N",1
2014-10-04,"Zambia","Cameroon",0,"H",1
2014-10-04,"Namibia","Algeria",3,"H",1
2014-10-23,"Bahrain","Pakistan",5,"H",1
2014-10-25,"Germany","France",0,"H",2
2014-10-25,"Canada","Japan",0,"H",2
2014-10-26,"Bahrain","Pakistan",5,"H",1
2014-10-28,"Czech Republic","Poland",1,"H",1
2014-10-28,"Canada","Japan",2,"H",2
2014-10-29,"Luxembourg","Lithuania",1,"H",1
2014-10-29,"Bahrain","Pakistan",10,"H",1
2014-10-29,"Sweden","Germany",1,"H",2
2014-10-30,"Poland","Slovakia",4,"H",1
2014-11-22,"Netherlands","Italy",1,"H",3
2014-11-27,"Italy","Netherlands",1,"H",3
2014-11-08,"Ecuador","Trinidad and Tobago",0,"H",3
2014-11-11,"Pakistan","Sri Lanka",1,"H",1
2014-11-12,"Guam","Korea Republic",0,"N",1
2014-11-12,"Chinese Taipei","Hong Kong",2,"H",1
2014-11-12,"Nepal","Bhutan",8,"N",1
2014-11-13,"India","Maldives",8,"N",1
2014-11-13,"Afghanistan","Bangladesh",1,"N",1
2014-11-14,"Bhutan","Sri Lanka",0,"N",1
2014-11-14,"Pakistan","Nepal",0,"H",1
2014-11-15,"Korea Republic","Hong Kong",9,"N",1
2014-11-15,"Maldives","Afghanistan",1,"N",1
2014-11-15,"Chinese Taipei","Guam",4,"H",1
2014-11-15,"Bangladesh","India",1,"N",1
2014-11-16,"Nepal","Sri Lanka",3,"N",1
2014-11-16,"Pakistan","Bhutan",4,"H",1
2014-11-17,"India","Afghanistan",12,"N",1
2014-11-17,"Bangladesh","Maldives",3,"N",1
2014-11-17,"Haiti","Trinidad and Tobago",1,"N",1
2014-11-17,"Mexico","Colombia",1,"H",1
2014-11-18,"Hong Kong","Guam",3,"N",1
2014-11-18,"Chinese Taipei","Korea Republic",0,"H",1
2014-11-18,"Nicaragua","Dominican Republic",1,"N",1
2014-11-18,"Costa Rica","Venezuela",2,"N",1
2014-11-19,"Haiti","Colombia",0,"N",1
2014-11-19,"India","Sri Lanka",5,"N",1
2014-11-19,"Nepal","Bangladesh",1,"N",1
2014-11-19,"Mexico","Trinidad and Tobago",6,"H",1
2014-11-20,"Venezuela","Dominican Republic",6,"N",1
2014-11-20,"Nicaragua","Costa Rica",0,"N",1
2014-11-21,"India","Nepal",6,"N",1
2014-11-21,"Colombia","Trinidad and Tobago",7,"N",1
2014-11-21,"Mexico","Haiti",1,"H",1
2014-11-22,"Poland","Belgium",1,"H",1
2014-11-22,"Venezuela","Nicaragua",3,"N",1
2014-11-22,"France","New Zealand",2,"H",1
2014-11-22,"Costa Rica","Dominican Republic",6,"N",1
2014-11-23,"Serbia","Bosnia and Herzegovina",1,"H",1
2014-11-23,"England","Germany",0,"H",2
2014-11-24,"Sweden","Canada",0,"N",2
2014-11-25,"Norway","New Zealand",1,"H",1
2014-11-25,"Colombia","Venezuela",1,"N",1
2014-11-25,"Mexico","Costa Rica",1,"H",1
2014-11-26,"Hungary","FYR Macedonia",8,"H",1
2014-11-26,"France","Brazil",2,"H",2
2014-11-26,"Sweden","Canada",1,"N",2
2014-11-27,"Norway","New Zealand",2,"H",1
2014-11-27,"Mexico","Colombia",2,"H",1
2014-11-27,"Venezuela","Costa Rica",2,"N",1
2014-12-02,"Trinidad and Tobago","Ecuador",0,"H",3
2014-12-10,"Brazil","Argentina",4,"H",1
2014-12-10,"USA","China PR",1,"N",1
2014-12-11,"Cyprus","Luxembourg",3,"H",1
2014-12-14,"China PR","Argentina",6,"N",1
2014-12-14,"Brazil","USA",3,"H",2
2014-12-18,"Brazil","China PR",4,"H",1
2014-12-18,"USA","Argentina",7,"N",1
2014-12-21,"China PR","Argentina",0,"N",1
2014-12-21,"Brazil","USA",0,"H",2
2014-12-23,"Barbados","Grenada",1,"H",1
2015-01-11,"Barbados","Dominica",1,"H",1
2015-01-11,"Canada","Korea Republic",2,"N",1
2015-01-11,"China PR","Mexico",0,"H",1
2015-01-12,"Denmark","New Zealand",1,"N",1
2015-01-13,"Canada","Mexico",2,"N",1
2015-01-13,"China PR","Korea Republic",2,"H",1
2015-01-15,"Korea Republic","Mexico",2,"N",1
2015-01-15,"China PR","Canada",1,"H",1
2015-01-15,"Denmark","New Zealand",2,"N",1
2015-02-05,"Mexico","Ecuador",1,"H",1
2015-02-06,"Estonia","Latvia",2,"H",1
2015-02-07,"Netherlands","Thailand",7,"H",1
2015-02-07,"Mexico","Ecuador",2,"H",1
2015-02-08,"Iran","Uzbekistan",0,"H",1
2015-02-08,"New Zealand","Korea DPR",1,"H",1
2015-02-08,"Northern Ireland","Scotland",0,"H",1
2015-02-08,"France","USA",2,"H",2
2015-02-10,"Korea DPR","Australia",1,"N",2
2015-02-10,"Spain","Austria",2,"H",1
2015-02-10,"Portugal","Switzerland",2,"H",1
2015-02-11,"Spain","Belgium",2,"H",1
2015-02-11,"Hungary","Poland",2,"H",1
2015-02-12,"New Zealand","Australia",2,"H",1
2015-02-12,"Portugal","Switzerland",1,"H",1
2015-02-12,"Finland","Sweden",0,"H",1
2015-02-13,"England","USA",0,"H",2
2015-02-22,"Madagascar","Botswana",1,"H",1
2015-02-23,"Bahrain","Hong Kong",2,"H",1
2015-02-24,"Turkey","Georgia",4,"H",1
2015-02-26,"Turkey","Georgia",6,"H",1
2015-03-11,"Uzbekistan","Palestine",6,"N",3
2015-03-11,"Sri Lanka","Myanmar",0,"A",3
2015-03-11,"Jordan","Hong Kong",1,"H",3
2015-03-13,"Hong Kong","Uzbekistan",0,"N",3
2015-03-13,"India","Sri Lanka",4,"N",3
2015-03-13,"Palestine","Jordan",0,"A",3
2015-03-15,"Hong Kong","Palestine",2,"N",3
2015-03-15,"Myanmar","India",7,"H",3
2015-03-15,"Uzbekistan","Jordan",0,"A",3
2015-03-20,"Laos","Chinese Taipei",0,"A",3
2015-03-22,"Iran","Laos",5,"N",3
2015-03-24,"Chinese Taipei","Iran",1,"H",3
2015-03-01,"Kenya","Egypt",0,"H",1
2015-03-04,"Poland","Northern Ireland",2,"N",1
2015-03-04,"Costa Rica","Bosnia and Herzegovina",1,"N",1
2015-03-04,"Republic of Ireland","Hungary",1,"N",1
2015-03-04,"Korea Republic","Italy",1,"N",1
2015-03-04,"Finland","England",1,"N",1
2015-03-04,"Mexico","South Africa",2,"N",1
2015-03-04,"Austria","Slovakia",1,"N",1
2015-03-04,"Croatia","Romania",0,"H",1
2015-03-04,"Switzerland","Iceland",2,"N",1
2015-03-04,"Japan","Denmark",1,"N",1
2015-03-04,"Scotland","Canada",0,"N",1
2015-03-04,"Netherlands","Australia",0,"N",1
2015-03-04,"Brazil","China PR",0,"N",1
2015-03-04,"Czech Republic","Belgium",2,"N",1
2015-03-04,"Germany","Sweden",2,"N",2
2015-03-04,"Portugal","France",0,"H",1
2015-03-04,"Norway","USA",1,"N",1
2015-03-05,"Spain","New Zealand",0,"H",1
2015-03-06,"Croatia","Poland",0,"H",1
2015-03-06,"Bosnia and Herzegovina","Wales",0,"N",1
2015-03-06,"Northern Ireland","Romania",0,"N",1
2015-03-06,"Slovakia","Republic of Ireland",2,"N",1
2015-03-06,"Portugal","Japan",0,"H",1
2015-03-06,"Canada","Korea Republic",1,"N",1
2015-03-06,"Finland","Netherlands",0,"N",1
2015-03-06,"Sweden","Brazil",0,"N",2
2015-03-06,"Belgium","South Africa",0,"N",1
2015-03-06,"Germany","China PR",2,"N",1
